kanji,
借,
僧,
句,
叩,
可,
告,
喉,
喫,
報,
座,
弓,
忘,
枚,
汽,
洗,
焼,
煙,
祈,
禁,
禅,
種,
等,
胸,
脳,
訓,
許,
達,
静,
類,
飴,
