kanji,
再,
刺,
創,
励,
占,
印,
往,
従,
復,
徴,
怪,
我,
振,
授,
接,
故,
汗,
河,
激,
独,
獣,
突,
筆,
菓,
討,
豚,
貯,
較,
造,
郵,
針,
鉛,
障,
