kanji,
供,
型,
境,
届,
展,
層,
差,
庁,
担,
株,
武,
燃,
狭,
環,
祝,
管,
肩,
腕,
腰,
製,
視,
触,
象,
販,
質,
載,
輸,
述,
違,
量,
額,
