kanji,
万,
今,
元,
公,
内,
冬,
分,
切,
北,
午,
半,
友,
古,
台,
外,
太,
少,
市,
広,
引,
心,
戸,
方,
止,
母,
毛,
父,
牛,
生,
用,
矢,
