kanji,
乗,
予,
事,
仮,
使,
保,
具,
勝,
受,
和,
売,
定,
実,
客,
屋,
度,
持,
新,
服,
泳,
物,
界,
発,
相,
県,
美,
苦,
表,
要,
試,
談,
負,
返,
送,
部,
重,
験,
