kanji,
俗,
刈,
剛,
劣,
勘,
唯,
壇,
奨,
妃,
尼,
征,
悟,
慌,
抽,
拓,
拘,
桑,
概,
浸,
淡,
潤,
煮,
珠,
礎,
紫,
衰,
覆,
誓,
謀,
陛,
陶,
隔,
駒,
鶴,
