kanji,
不,
世,
主,
仕,
他,
代,
休,
先,
写,
去,
号,
名,
央,
字,
宝,
平,
年,
打,
早,
村,
気,
氷,
申,
男,
町,
百,
皿,
石,
礼,
竹,
糸,
耳,
花,
虫,
見,
貝,
赤,
足,
車,
