kanji,
両,
亡,
京,
全,
前,
化,
南,
向,
国,
地,
夜,
妹,
姉,
安,
室,
州,
店,
後,
思,
明,
星,
曲,
有,
東,
次,
歩,
死,
活,
海,
点,
画,
直,
知,
私,
科,
羊,
茶,
血,
長,
食,
首,
