kanji,
付,
以,
夏,
失,
家,
弱,
強,
必,
教,
時,
未,
末,
札,
校,
欠,
氏,
民,
理,
由,
紙,
組,
船,
記,
辺,
通,
週,
雪,
風,
高,
魚,
鳥,
黄,
黒,
