kanji,
々,
丁,
中,
丸,
了,
五,
六,
円,
出,
刀,
千,
又,
右,
四,
土,
夕,
天,
子,
小,
左,
手,
才,
文,
日,
月,
木,
本,
正,
水,
火,
犬,
玉,
王,
田,
白,
目,
立,
