kanji,
也,
井,
凶,
卓,
呪,
塊,
塾,
嫁,
嬢,
暦,
曇,
湿,
溝,
滝,
澄,
狂,
狩,
疲,
眺,
矛,
硬,
磨,
稼,
翔,
肌,
脚,
舟,
菌,
裸,
賭,
鐘,
陰,
霊,
頃,
魂,
