kanji,
乱,
冊,
加,
史,
善,
団,
宇,
宙,
容,
履,
布,
徒,
得,
忙,
改,
昆,
易,
暴,
歴,
比,
混,
減,
笛,
節,
絡,
続,
舌,
若,
詞,
財,
連,
閥,
順,
