kanji,
争,
令,
仲,
伝,
位,
低,
便,
働,
共,
初,
別,
利,
功,
努,
労,
味,
命,
好,
岸,
意,
成,
戦,
拾,
指,
放,
昔,
波,
注,
洋,
特,
神,
秒,
競,
級,
老,
育,
良,
追,
