kanji,
住,
助,
医,
反,
君,
場,
対,
局,
役,
所,
投,
支,
数,
朝,
森,
楽,
池,
決,
番,
研,
究,
答,
絵,
者,
話,
買,
身,
道,
間,
雲,
電,
馬,
