kanji,
串,
償,
兆,
刑,
削,
募,
執,
塁,
契,
崩,
弾,
恵,
患,
戻,
抗,
抱,
抵,
掲,
旬,
昭,
湾,
漁,
爆,
狙,
眉,
聴,
臨,
葬,
跡,
跳,
遣,
闘,
陣,
香,
