kanji,
且,
傲,
冠,
勲,
卸,
叙,
呆,
呈,
哺,
尚,
庶,
悠,
愚,
拐,
杏,
栞,
栽,
欄,
疎,
疾,
痴,
粛,
紋,
茎,
茜,
荘,
謡,
践,
逸,
酬,
酷,
鎌,
阿,
顕,
鯨,
