kanji,
始,
最,
業,
横,
歌,
求,
漢,
病,
算,
終,
線,
習,
聞,
落,
葉,
親,
語,
読,
調,
起,
路,
転,
軽,
農,
速,
進,
運,
配,
酒,
鉄,
開,
院,
集,
頭,
顔,
飲,
鳴,
