kanji,
亀,
互,
介,
剣,
厄,
噌,
寿,
己,
彫,
彼,
恥,
払,
杉,
汁,
油,
測,
湖,
滞,
炎,
為,
熊,
獄,
破,
紹,
舎,
講,
遅,
酔,
酢,
醤,
銅,
鍋,
