kanji,
交,
会,
体,
何,
作,
兄,
光,
同,
回,
図,
声,
多,
学,
弟,
当,
形,
斤,
来,
林,
毎,
皮,
社,
空,
米,
羽,
考,
肉,
自,
色,
草,
行,
西,
角,
言,
谷,
走,
近,
里,
金,
雨,
青,
音,
麦,
