kanji,
像,
億,
問,
器,
士,
宿,
情,
想,
感,
整,
料,
映,
暗,
様,
標,
橋,
殺,
然,
熱,
疑,
皆,
福,
緑,
練,
詩,
課,
謝,
賞,
輪,
選,
銀,
鏡,
題,
願,
養,
館,
駅,
